448003.735,1699106.535,4,"448003.735,1699106.535",
448031.381,1699106.535,5,"448031.381,1699106.535",
448061.24,1698490.074,3,"448061.24,1698490.074",
448004.567,1698521.312,10,"448004.567,1698521.312",
447971.38,1698503.621,9,"447971.38,1698503.621",
447976.492,1698490.137,2,"447976.492,1698490.137",
447971.359,1698476.511,8,"447971.359,1698476.511",
447449.611,1698477.056,7,"447449.611,1698477.056",
447444.186,1698490.554,1,"447444.186,1698490.554",
447449.611,1698504.016,6,"447449.611,1698504.016",
,,,,
,,,,
,447444.186,1698490.554,1',"447444.186,1698490.554"
,447449.611,1698504.016,6',"447449.611,1698504.016"
,447449.611,1698477.056,7',"447449.611,1698477.056"
,447971.359,1698476.511,8',"447971.359,1698476.511"
,447976.492,1698490.137,2',"447976.492,1698490.137"
,447971.38,1698503.621,9',"447971.38,1698503.621"
,448004.567,1698521.312,10',"448004.567,1698521.312"
,448061.24,1698490.074,3',"448061.24,1698490.074"
,448031.381,1699106.535,5',"448031.381,1699106.535"
,448003.735,1699106.535,4',"448003.735,1699106.535"
,,,,
,,,,
,447444.186,1698490.554,'1'),"447444.186,1698490.554"
,447449.611,1698504.016,'2'),"447449.611,1698504.016"
,447449.611,1698477.056,'3'),"447449.611,1698477.056"
,447971.359,1698476.511,'4'),"447971.359,1698476.511"
,447976.492,1698490.137,'6'),"447976.492,1698490.137"
,447971.38,1698503.621,'5'),"447971.38,1698503.621"
,448004.567,1698521.312,'8'),"448004.567,1698521.312"
,448061.24,1698490.074,'10'),"448061.24,1698490.074"
,448031.381,1699106.535,'9'),"448031.381,1699106.535"
,448003.735,1699106.535,'7'),"448003.735,1699106.535"
